bike_id,bike_start,bike_end,avg_duration_mins,total_trips,total_duration_hours,total_days_hired
17299,2020-03-11 17:22:00.000000 UTC,2023-01-15 13:27:00.000000 UTC,21.06315542,3541,1243.077222,659
17300,2020-03-14 11:29:00.000000 UTC,2022-09-09 13:54:00.000000 UTC,22.28075802,3430,1273.716667,649
17301,2020-03-13 08:36:00.000000 UTC,2022-09-09 20:25:00.000000 UTC,24.03944563,3752,1503.266667,669
17302,2020-03-15 15:51:00.000000 UTC,2021-08-29 12:49:00.000000 UTC,26.07332369,2073,900.8333333,396
17303,2020-03-14 16:03:00.000000 UTC,2022-06-23 18:38:00.000000 UTC,22.95529412,2550,975.6,490
17304,2020-03-13 08:34:00.000000 UTC,2022-09-09 19:30:00.000000 UTC,26.91831097,2534,1136.85,521
17305,2020-03-14 12:41:00.000000 UTC,2023-01-15 20:59:00.000000 UTC,22.30910869,3665,1362.714722,683
17306,2020-03-11 08:35:00.000000 UTC,2022-09-09 21:12:00.000000 UTC,24.76103827,3737,1542.2,655
17307,2020-03-15 11:20:00.000000 UTC,2022-08-21 15:29:00.000000 UTC,24.49412139,3147,1284.716667,603
17308,2020-03-11 19:14:00.000000 UTC,2022-09-09 15:27:00.000000 UTC,21.05282555,3256,1142.466667,644
17309,2020-03-15 14:34:00.000000 UTC,2022-08-07 13:19:00.000000 UTC,23.38569385,3495,1362.216667,649
17310,2020-03-11 07:11:00.000000 UTC,2022-07-13 09:32:00.000000 UTC,21.41224747,3168,1130.566667,573
17311,2020-03-13 21:48:00.000000 UTC,2021-01-18 14:39:00.000000 UTC,27.03568075,1065,479.8833333,199
17312,2020-03-11 08:53:00.000000 UTC,2023-01-14 17:48:00.000000 UTC,25.05766284,2610,1090.008333,527
17313,2020-03-11 08:55:00.000000 UTC,2022-09-09 22:15:00.000000 UTC,24.73936529,2962,1221.3,567
17314,2020-03-13 16:13:00.000000 UTC,2022-09-09 17:50:00.000000 UTC,22.48260758,3881,1454.25,712
17315,2020-03-11 09:00:00.000000 UTC,2022-09-09 10:08:00.000000 UTC,21.72587065,4020,1455.633333,710
17316,2020-08-16 17:39:00.000000 UTC,2022-06-26 00:30:00.000000 UTC,27.35992908,2256,1028.733333,444
17317,2020-03-11 08:36:00.000000 UTC,2022-07-29 10:28:00.000000 UTC,22.29844173,2952,1097.083333,569
17318,2020-03-13 09:27:00.000000 UTC,2023-01-10 09:51:00.000000 UTC,24.68322196,3442,1415.994167,649
17319,2020-03-13 18:12:00.000000 UTC,2022-08-23 19:10:00.000000 UTC,20.88622195,3208,1116.716667,614
17320,2020-03-13 08:12:00.000000 UTC,2022-08-06 10:15:00.000000 UTC,22.11882893,3484,1284.366667,653
17321,2020-03-14 11:29:00.000000 UTC,2022-09-09 18:18:00.000000 UTC,20.89072953,3139,1092.933333,523
17322,2020-03-12 17:18:00.000000 UTC,2022-03-14 02:28:00.000000 UTC,24.50020137,2483,1013.9,469
17323,2020-03-11 00:34:00.000000 UTC,2022-09-09 17:31:00.000000 UTC,22.66434469,3876,1464.116667,668
17324,2020-03-11 21:31:00.000000 UTC,2023-01-15 09:56:00.000000 UTC,24.64824365,3568,1465.748889,709
17325,2020-03-13 20:26:00.000000 UTC,2022-11-20 15:59:00.000000 UTC,26.81924275,2355,1052.655278,467
17326,2020-03-13 16:45:00.000000 UTC,2023-01-15 21:27:00.000000 UTC,21.62130326,3990,1437.816667,733
17327,2020-03-13 16:37:00.000000 UTC,2022-09-09 19:11:00.000000 UTC,20.31781502,3222,1091.066667,626
17328,2020-03-13 18:24:00.000000 UTC,2021-06-02 15:03:00.000000 UTC,26.23809524,1785,780.5833333,290
17329,2020-03-12 17:37:00.000000 UTC,2022-11-25 18:39:00.000000 UTC,25.08687246,1474,616.3008333,290
17330,2020-03-11 16:32:00.000000 UTC,2022-04-12 13:00:00.000000 UTC,23.13423423,3330,1283.95,593
17331,2020-03-12 20:32:00.000000 UTC,2022-09-09 16:41:00.000000 UTC,21.49663258,4009,1436.333333,714
17332,2020-03-11 17:56:00.000000 UTC,2022-09-09 18:21:00.000000 UTC,22.51460551,3663,1374.516667,668
17333,2020-03-13 17:21:00.000000 UTC,2022-09-09 21:50:00.000000 UTC,21.55659398,2889,1037.95,526
17334,2020-03-15 18:47:00.000000 UTC,2022-09-04 13:03:00.000000 UTC,21.36137667,3661,1303.4,653
17335,2020-03-13 16:09:00.000000 UTC,2023-01-15 17:06:00.000000 UTC,21.29214869,3717,1319.048611,685
17336,2020-03-13 18:31:00.000000 UTC,2023-01-15 13:31:00.000000 UTC,23.07601915,3516,1352.254722,635
17337,2020-03-11 08:36:00.000000 UTC,2022-09-09 13:53:00.000000 UTC,22.64719945,2928,1105.183333,608
17338,2020-03-11 08:22:00.000000 UTC,2022-09-09 19:44:00.000000 UTC,25.43677829,3464,1468.55,653
17339,2020-03-14 22:48:00.000000 UTC,2022-09-09 19:17:00.000000 UTC,20.66795827,3355,1155.683333,573
17340,2020-03-11 08:19:00.000000 UTC,2022-04-16 15:44:00.000000 UTC,23.85109819,3096,1230.716667,552
17341,2020-03-14 18:20:00.000000 UTC,2022-09-08 16:18:00.000000 UTC,22.81981982,3552,1350.933333,623
17342,2020-03-11 08:23:00.000000 UTC,2022-10-29 17:53:00.000000 UTC,22.97706932,3717,1423.429444,651
17343,2020-03-11 17:21:00.000000 UTC,2022-05-24 17:37:00.000000 UTC,21.38106169,3485,1241.883333,603
17344,2020-03-12 09:13:00.000000 UTC,2022-09-09 16:18:00.000000 UTC,23.81510772,3667,1455.5,682
17345,2020-03-13 17:53:00.000000 UTC,2022-09-08 21:52:00.000000 UTC,22.0305181,4227,1552.05,718
17346,2020-03-12 22:56:00.000000 UTC,2022-06-14 08:32:00.000000 UTC,25.02030769,3250,1355.266667,611
17347,2020-03-12 21:30:00.000000 UTC,2022-09-09 19:31:00.000000 UTC,22.22186667,3750,1388.866667,708
17348,2020-03-11 11:39:00.000000 UTC,2022-10-21 18:59:00.000000 UTC,22.055702,3642,1338.781111,670
17349,2020-03-13 08:12:00.000000 UTC,2022-09-09 08:13:00.000000 UTC,25.54545455,3014,1283.233333,532
17350,2020-03-11 06:49:00.000000 UTC,2022-09-09 22:38:00.000000 UTC,20.80499343,3805,1319.383333,668
17351,2020-03-11 07:41:00.000000 UTC,2022-09-09 20:34:00.000000 UTC,21.01178782,4072,1426,677
17352,2020-03-12 01:39:00.000000 UTC,2022-09-09 20:19:00.000000 UTC,23.85684539,3842,1527.633333,716
17353,2020-03-14 12:40:00.000000 UTC,2022-09-08 19:08:00.000000 UTC,20.56587615,3036,1040.633333,549
17354,2020-03-13 09:03:00.000000 UTC,2022-08-05 08:50:00.000000 UTC,23.69799742,3096,1222.816667,597
17355,2020-03-16 08:34:00.000000 UTC,2021-05-30 11:00:00.000000 UTC,27.77914798,1784,825.9666667,329
17356,2020-03-13 07:48:00.000000 UTC,2022-09-09 17:51:00.000000 UTC,22.01764414,4024,1476.65,713
17357,2020-03-11 10:21:00.000000 UTC,2022-09-06 16:40:00.000000 UTC,22.00787623,3555,1303.966667,673
17358,2020-03-13 20:01:00.000000 UTC,2022-08-06 17:03:00.000000 UTC,22.26790831,3490,1295.25,611
17359,2020-03-11 09:21:00.000000 UTC,2022-09-09 20:05:00.000000 UTC,20.99332857,4197,1468.483333,722
17360,2020-03-12 02:30:00.000000 UTC,2022-09-09 11:22:00.000000 UTC,22.5430791,2832,1064.033333,571
17361,2020-03-11 09:45:00.000000 UTC,2020-09-28 15:42:00.000000 UTC,27.55441302,1167,535.9333333,184
17362,2020-03-13 17:39:00.000000 UTC,2022-09-09 13:11:00.000000 UTC,23.97343686,2447,977.7166667,440
17363,2020-03-14 14:14:00.000000 UTC,2022-08-01 20:16:00.000000 UTC,22.21706466,3727,1380.05,688
17364,2020-03-12 08:27:00.000000 UTC,2022-09-09 18:28:00.000000 UTC,24.01877934,3621,1449.533333,662
17365,2020-03-13 17:31:00.000000 UTC,2022-09-09 21:00:00.000000 UTC,22.82709447,3366,1280.6,649
17366,2020-03-15 11:56:00.000000 UTC,2022-08-14 16:21:00.000000 UTC,26.2775697,2403,1052.416667,563
17367,2020-03-23 18:22:00.000000 UTC,2022-06-22 23:31:00.000000 UTC,24.46767241,2320,946.0833333,477
17368,2020-03-24 10:06:00.000000 UTC,2022-09-09 09:19:00.000000 UTC,23.34988018,2921,1136.75,586
17369,2020-03-18 12:39:00.000000 UTC,2022-09-09 16:15:00.000000 UTC,25.62788462,3120,1332.65,614
17370,2020-03-18 16:39:00.000000 UTC,2022-09-09 19:53:00.000000 UTC,23.85849871,3477,1382.6,632
17371,2020-03-18 15:05:00.000000 UTC,2022-05-19 20:51:00.000000 UTC,21.86174608,3631,1323,623
17372,2020-03-30 13:36:00.000000 UTC,2022-07-05 17:14:00.000000 UTC,22.61548913,2208,832.25,425
17373,2020-03-18 07:36:00.000000 UTC,2022-06-29 12:13:00.000000 UTC,21.299103,3233,1147.666667,587
17374,2020-03-26 14:37:00.000000 UTC,2022-09-09 16:13:00.000000 UTC,25.14409383,3581,1500.683333,625
17375,2020-03-19 10:29:00.000000 UTC,2022-07-27 18:58:00.000000 UTC,24.60933021,3837,1573.766667,684
17376,2020-03-17 14:18:00.000000 UTC,2022-09-08 07:02:00.000000 UTC,22.50751445,2595,973.45,495
17377,2020-03-21 18:52:00.000000 UTC,2023-01-15 18:23:00.000000 UTC,23.25460801,2955,1145.289444,553
17378,2020-03-18 18:19:00.000000 UTC,2022-09-08 13:10:00.000000 UTC,23.42183076,3179,1240.966667,622
17379,2020-03-18 22:02:00.000000 UTC,2022-08-02 08:02:00.000000 UTC,22.32452063,3442,1280.683333,653
17380,2020-03-22 15:25:00.000000 UTC,2020-08-06 12:45:00.000000 UTC,31.12150668,823,426.8833333,127
17381,2020-03-18 19:45:00.000000 UTC,2022-09-09 20:12:00.000000 UTC,21.7354531,3145,1139.3,574
17382,2020-03-18 17:54:00.000000 UTC,2021-03-07 15:32:00.000000 UTC,25.25981055,1478,622.2333333,276
17383,2020-03-17 09:04:00.000000 UTC,2022-09-08 09:46:00.000000 UTC,21.00928249,3986,1395.716667,729
17384,2020-03-17 16:47:00.000000 UTC,2022-09-09 16:17:00.000000 UTC,24.33825008,2983,1210.016667,582
17385,2020-03-18 18:38:00.000000 UTC,2021-12-31 15:20:00.000000 UTC,23.31279782,2938,1141.55,530
17386,2020-03-22 15:26:00.000000 UTC,2023-01-15 20:55:00.000000 UTC,22.94748673,2825,1080.444167,553
17387,2020-03-21 16:00:00.000000 UTC,2022-09-09 20:35:00.000000 UTC,23.65617064,3938,1552.633333,735
17388,2020-03-18 22:15:00.000000 UTC,2022-09-09 01:24:00.000000 UTC,20.00948081,2215,738.6833333,432
17389,2020-03-17 11:49:00.000000 UTC,2022-09-09 18:47:00.000000 UTC,23.10781588,3237,1246.666667,593
17390,2020-03-18 18:50:00.000000 UTC,2023-01-15 11:54:00.000000 UTC,24.03617414,3702,1483.031944,689
17391,2020-03-17 17:23:00.000000 UTC,2022-09-08 08:54:00.000000 UTC,23.02529426,3993,1532.333333,728
17392,2020-03-24 19:05:00.000000 UTC,2023-01-15 19:44:00.000000 UTC,22.71139618,3469,1313.097222,662
17393,2020-03-24 20:11:00.000000 UTC,2023-01-12 08:57:00.000000 UTC,23.79997542,2034,806.8191667,360
17394,2020-03-23 15:12:00.000000 UTC,2022-06-04 17:45:00.000000 UTC,22.34478602,3318,1235.666667,619
17395,2020-03-24 14:13:00.000000 UTC,2022-09-08 14:50:00.000000 UTC,21.25845737,2217,785.5,432
17396,2020-03-18 13:44:00.000000 UTC,2022-09-09 16:18:00.000000 UTC,21.85831063,3670,1337,696
17397,2020-03-20 09:19:00.000000 UTC,2023-01-13 13:09:00.000000 UTC,22.24236436,4276,1585.139167,771
17398,2020-03-23 11:30:00.000000 UTC,2022-05-12 17:50:00.000000 UTC,20.22495274,3174,1069.9,566
17399,2020-03-24 09:52:00.000000 UTC,2022-09-08 09:18:00.000000 UTC,20.8107763,3916,1358.25,696
17400,2020-03-17 08:40:00.000000 UTC,2022-07-16 04:30:00.000000 UTC,23.72245274,2169,857.5666667,398
17401,2020-03-24 21:28:00.000000 UTC,2022-09-09 18:44:00.000000 UTC,21.54863693,3228,1159.316667,598
17402,2020-03-24 15:22:00.000000 UTC,2021-08-06 18:10:00.000000 UTC,27.18644068,2301,1042.6,393
17403,2020-03-21 14:31:00.000000 UTC,2022-09-07 09:09:00.000000 UTC,25.79690189,1162,499.6,236
17404,2020-03-17 12:18:00.000000 UTC,2023-01-15 17:17:00.000000 UTC,21.48576868,4202,1504.72,734
